logical_group_id,partition,test_domain,class_index,class_name,support,precision,recall,f1
ablation_channels__direction_timing__cnn1d,combined,inner,12,VoIP,1569,0.566265060240964,0.688973868706182,0.621621621621622
ablation_channels__direction_timing__cnn1d,combined,inner,13,Web,110690,0.991385102947518,0.893052669617852,0.939653328643875
ablation_channels__direction_timing__cnn1d,combined,outer,0,Chat,3985,0.691698877231732,0.943036386449184,0.798046294330006
ablation_channels__direction_timing__cnn1d,combined,outer,1,Cloud,5778,0.820358379762084,0.942886812045691,0.87736532732104
ablation_channels__direction_timing__cnn1d,combined,outer,2,Collaborative,6632,0.427484662576687,0.787997587454765,0.554276926340351
ablation_channels__direction_timing__cnn1d,combined,outer,3,ConnCheck,281,0.468978102189781,0.914590747330961,0.620024125452352
ablation_channels__direction_timing__cnn1d,combined,outer,4,Database,327,0.95679012345679,0.948012232415902,0.952380952380952
ablation_channels__direction_timing__cnn1d,combined,outer,5,Download,651,0.559426229508197,0.838709677419355,0.671173939766441
ablation_channels__direction_timing__cnn1d,combined,outer,6,Email,391,0.727095516569201,0.953964194373402,0.825221238938053
ablation_channels__direction_timing__cnn1d,combined,outer,7,Network,84447,0.996842076231452,0.856004357762857,0.921070570771456
ablation_channels__direction_timing__cnn1d,combined,outer,8,SocialNetwork,3883,0.885399578157956,0.972959052279166,0.927116564417178
ablation_channels__direction_timing__cnn1d,combined,outer,9,SoftwareUpdate,737,0.608133086876155,0.89280868385346,0.723474436503573
ablation_channels__direction_timing__cnn1d,combined,outer,10,System,1230,0.0802469135802469,0.919512195121951,0.147611589663273
ablation_channels__direction_timing__cnn1d,combined,outer,11,Unspecified,5680,0.860041874698019,0.940140845070423,0.898309361594751
ablation_channels__direction_timing__cnn1d,combined,outer,12,VoIP,1569,0.566492146596859,0.689611217335883,0.622017821212992
ablation_channels__direction_timing__cnn1d,combined,outer,13,Web,110690,0.991400701204505,0.891562020056012,0.938834531210609
ablation_channels__direction_timing__transformer,combined,inner,0,Chat,3985,0.454251744636857,0.882057716436637,0.59967585089141
ablation_channels__direction_timing__transformer,combined,inner,1,Cloud,5778,0.670150228608752,0.88785046728972,0.763790664780764
ablation_channels__direction_timing__transformer,combined,inner,2,Collaborative,6632,0.27979274611399,0.708383594692401,0.401144174529309
ablation_channels__direction_timing__transformer,combined,inner,3,ConnCheck,281,0.217813051146384,0.879003558718861,0.349116607773852
ablation_channels__direction_timing__transformer,combined,inner,4,Database,327,0.769230769230769,0.948012232415902,0.849315068493151
ablation_channels__direction_timing__transformer,combined,inner,5,Download,651,0.110712148414123,0.852534562211982,0.195974576271186
ablation_channels__direction_timing__transformer,combined,inner,6,Email,391,0.657657657657658,0.933503836317136,0.771670190274841
ablation_channels__direction_timing__transformer,combined,inner,7,Network,84447,0.996838941966944,0.832747166862056,0.907434529301323
ablation_channels__direction_timing__transformer,combined,inner,8,SocialNetwork,3883,0.616839638433211,0.949008498583569,0.747691995536167
ablation_channels__direction_timing__transformer,combined,inner,9,SoftwareUpdate,737,0.252768232149675,0.898236092265943,0.394517282479142
ablation_channels__direction_timing__transformer,combined,inner,10,System,1230,0.0725862836077036,0.928455284552846,0.13464599422272
ablation_channels__direction_timing__transformer,combined,inner,11,Unspecified,5680,0.825449385052034,0.921654929577465,0.870903343869572
ablation_channels__direction_timing__transformer,combined,inner,12,VoIP,1569,0.354642857142857,0.632887189292543,0.454566262302586
ablation_channels__direction_timing__transformer,combined,inner,13,Web,110690,0.988707850273566,0.741178064865842,0.847233409752773
ablation_channels__direction_timing__transformer,combined,outer,0,Chat,3985,0.447941888619855,0.882057716436637,0.594151453684922
ablation_channels__direction_timing__transformer,combined,outer,1,Cloud,5778,0.686528497409326,0.87140879196954,0.767998779743746
ablation_channels__direction_timing__transformer,combined,outer,2,Collaborative,6632,0.276298890834793,0.713661037394451,0.398367140813063
ablation_channels__direction_timing__transformer,combined,outer,3,ConnCheck,281,0.200328407224959,0.868327402135231,0.325550366911274
ablation_channels__direction_timing__transformer,combined,outer,4,Database,327,0.769230769230769,0.948012232415902,0.849315068493151
ablation_channels__direction_timing__transformer,combined,outer,5,Download,651,0.11061678463094,0.840245775729647,0.195496783416726
ablation_channels__direction_timing__transformer,combined,outer,6,Email,391,0.652951699463327,0.933503836317136,0.768421052631579
ablation_channels__direction_timing__transformer,combined,outer,7,Network,84447,0.996729051709426,0.829940672848059,0.905720359517456
ablation_channels__direction_timing__transformer,combined,outer,8,SocialNetwork,3883,0.553477935676889,0.952871491115117,0.700227100681302
ablation_channels__direction_timing__transformer,combined,outer,9,SoftwareUpdate,737,0.267446551028641,0.899592944369064,0.412313432835821
ablation_channels__direction_timing__transformer,combined,outer,10,System,1230,0.0724748928548583,0.921138211382114,0.134377038486628
ablation_channels__direction_timing__transformer,combined,outer,11,Unspecified,5680,0.82818685669042,0.920774647887324,0.872030012505211
ablation_channels__direction_timing__transformer,combined,outer,12,VoIP,1569,0.344552394170715,0.632887189292543,0.446191866996181
ablation_channels__direction_timing__transformer,combined,outer,13,Web,110690,0.988513963772945,0.737076520010841,0.844476646396688
ablation_channels__size_timing__cnn1d,combined,inner,0,Chat,3985,0.80802718199193,0.954830614805521,0.875316310098919
ablation_channels__size_timing__cnn1d,combined,inner,1,Cloud,5778,0.888417413169888,0.978366216683974,0.931224775553908
ablation_channels__size_timing__cnn1d,combined,inner,2,Collaborative,6632,0.574180938198064,0.93018697225573,0.71005985267035
ablation_channels__size_timing__cnn1d,combined,inner,3,ConnCheck,281,0.728260869565217,0.953736654804271,0.825885978428351
ablation_channels__size_timing__cnn1d,combined,inner,4,Database,327,0.875346260387812,0.966360856269113,0.918604651162791
ablation_channels__size_timing__cnn1d,combined,inner,5,Download,651,0.618239660657476,0.895545314900154,0.731493099121706
ablation_channels__size_timing__cnn1d,combined,inner,6,Email,391,0.784232365145228,0.966751918158568,0.865979381443299
